"Time","Whole","Hokkaido","Aomori","Iwate","Miyagi","Akita","Yamagata","Fukushima","Ibaraki","Tochigi","Gunma","Saitama","Chiba","Tokyo","Kanagawa","Niigata","Toyama","Ishikawa","Fukui","Yamanashi","Nagano","Gifu","Shizuoka","Aichi","Mie","Shiga","Kyoto","Osaka","Hyogo","Nara","Wakayama","Tottori","Shimane","Okayama","Hiroshima","Yamaguchi","Tokushima","Kagawa","Ehime","Kochi","Fukuoka","Saga","Nagasaki","Kumamoto","Oita","Miyazaki","Kagoshima","Okinawa"
247,433.928843894827,14.3803499271492,0.0199309411229273,0,5.18813069888095,0.286983003023352,0,2.57869904743926,2.02567459591442,3.68507248314531,10.9960202913659,18.8423094516958,26.8078812231036,155.795830379232,51.3744110794717,1.4829207860732,0.35783702053946,3.37993994390315,0,0.136700887067299,0.665945600463487,1.57455087094334,1.50941157050723,25.5012578785312,2.41829113874975,1.36779895533473,7.66453608396912,57.2602817839488,13.495745619062,0.197019414571087,0.300195616645591,0.128599316343061,0.264947134827583,0.389352197914405,4.22922423849085,0.170113808355238,0.0149129418866539,0.0585326140733157,0,0.128599316343061,5.14673425873775,0,0,0.168164629919052,0,0,2.77076591308424,11.1651712329979
248,411.392190404707,14.0023282084948,0.0264699295576396,0,4.63918932643673,0.275923615999018,0,2.88862554408727,2.25395027440512,3.39582597026807,8.69450062107024,18.5889539868722,24.2444739748271,146.46733331495,47.6152979220748,1.00484036208218,0.312175027067598,3.1438385211369,0,0.23961483480683,0.597472915290449,1.86238689500886,1.39692657593171,23.2558774510033,2.72240070411554,1.49794377195426,7.56862905418096,55.7510154906877,13.1840387527752,0.305446062326282,0.370403544897216,0.0585326140733157,0.27817558201537,0.425875468247027,5.24051001114885,0.22280459927756,0.0199309411229273,0,0,0.0585326140733157,4.33338082017911,0,0.0298258837733079,0.154535401962935,0,0,3.32401876470534,10.9401850518204
249,393.46491216241,13.504144756732,0.0348888967479798,0,3.93894987678737,0.187131930416377,0,3.17853780894004,2.46529038792401,2.8059063458014,6.60038750223376,18.7631776331466,23.4089213721005,136.910283538032,45.7596749837232,0.799062267638292,0.357999862030423,2.87030436010509,0,0.356061422176115,0.514528676778094,2.18248180399704,1.36593942272508,22.7170700798524,3.16302888918464,1.65031585123177,7.1284376756418,53.2698444036128,12.7508818554689,0.429690561557253,0.43928078269716,0,0.244975792864744,0.539555073617483,6.20209004190316,0.28865869106138,0.0264699295576396,0,0,0,3.55207885405008,0,0.0398618822458545,0.235954237693086,0,0,3.8099081107032,10.9731366014313
250,393.15895323301,13.5792376728797,0.059457740293631,0,3.59268866461286,0.0585326140733157,0,3.2054593365224,2.67425030645847,1.94453457910251,5.18730520835397,19.585416081383,24.6079299595531,134.465658392543,47.145951888607,0.682532029143688,0.476524437828239,2.52999322905361,0,0.465332715136767,0.465627596253351,2.52187356415237,1.59187712332843,23.3512486707584,3.49481974521366,1.85125295637964,6.45551050151167,51.4299242253463,12.632475216046,0.631305578042979,0.489838712640747,0,0.225949643127915,0.68279383373878,7.13714329920827,0.368809133269544,0.0348888967479798,0,0,0,3.13831891150745,0,0.0529398591152792,0.33701481783757,0,0,4.11450019626847,11.8900358969702
251,415.680994476126,14.5765943462355,0.0778754539038037,0.0138965495668607,4.04688187968863,0,0,3.41897368061022,2.94524555580614,0.98072992297791,4.66916352491245,21.5482438158512,26.8115542510676,143.002877598481,50.9420579565433,0.599835540411551,0.607738011815668,2.41735174934085,0,0.614545618296378,0.462482603521795,2.70081622451889,1.99831427608619,24.9213981901986,3.65243809078126,2.1100698668715,6.1820461423073,52.3314580398535,12.329159513027,0.821312884161698,0.491166295025388,0,0.262426086301253,0.822737910856773,7.74423746509056,0.462602026253782,0.059457740293631,0,0.0138965495668607,0,3.34130898165464,0,0.0697777934959596,0.541175991535705,0,0,3.96563396159474,13.1235123876193
252,448.001557394069,15.6984986603374,0.100733312026609,0.0190640363179906,4.33438556382083,0.0694827478343035,0,3.65732435710525,3.37495156092713,0.316520730250925,3.99537909965729,24.3132501103414,28.5119990292133,157.143669958399,55.7487264157516,0.669641546258768,0.759473848091839,2.32240833318692,0,0.781885414315783,0.586738918689974,2.68145997482638,2.41992372123075,27.0940974737501,3.68673126329117,2.45331188358072,6.48214402085194,53.3138910909371,12.2191408360024,1.05368619867193,0.491577703031336,0,0.283635787696123,0.986537981238915,8.54778862922423,0.565550369536663,0.0778754539038037,0,0.0190640363179906,0,3.7843086543549,0,0.0911223814535407,0.9295551537846,0,0,3.82167544846034,14.5943456893974
253,475.34617233262,16.3518119442946,0.128194788379306,0.0259451791904541,4.44925969163747,0.0953201815899529,0,3.58825235682652,3.94503201686843,0.440631557467875,3.29532283783213,26.5329140277471,29.6303122289365,170.002683242487,59.1547092433079,0.66911646544305,0.921791755952055,2.16242462362843,0,0.987244822457336,0.727901320085921,2.39835947899782,2.8103763776155,27.810725381753,3.73627848143031,2.62733786984893,6.81741373360919,52.9468602989592,13.449516049712,1.32694615675975,0.501963522681688,0,0.264057018962908,1.04790958248675,9.75756426632031,0.707164940477479,0.100733312026609,0,0.0259451791904541,0,4.10787552332485,0,0.117622835171626,1.40280491548386,0,0,3.93029714106287,16.3495519826125
254,491.393308067663,17.300542982827,0.159567728244148,0.0349731989835923,4.39238995384759,0.129725895952271,0,3.18681816278196,4.53239247142451,0.610461979947899,2.99945360735862,27.6909736962057,30.1187853887167,177.22910316061,59.7740835129371,0.502326095342076,1.06842407066804,1.98101544114835,0.0277930991337214,1.20647250890496,0.915734382582405,1.89713327038397,3.05484641874774,26.4269662943748,4.05765775991418,2.5343768050468,7.39378391617084,53.1796434616463,15.2386164642648,1.65616353675318,0.489832198655794,0,0.143055428297133,1.01270888254886,10.9019142987915,0.819820737788899,0.128194788379306,0,0.0349731989835923,0,4.28698605153337,0,0.149576265672309,1.95485734402709,0,0,3.60975700640347,18.5614066016623
255,486.419988971912,17.5181714183637,0.192381393253533,0.0465929066801907,4.45572072336964,0.174865994917962,0,2.93309669562183,4.82173363828254,0.791877883082396,2.64138455361752,28.2947722740266,30.5466054468169,173.276128034798,57.3995883852002,0.292103007782315,1.13137606561999,1.37110979791518,0.0520246222028419,1.38436676414371,1.06682619942941,1.41876323297611,3.04753751033341,24.5782442669409,4.26416693050102,2.31673819559435,7.79608601337576,51.6175787202673,16.1753007593364,2.02994109527683,0.522141433244353,0,0,0.935810792939065,11.4605981693546,0.840845800750889,0.159567728244148,0,0.0465929066801907,0,4.22433169157068,0.0277930991337214,0.200339728358289,2.67920333748261,0,0,3.21195396416377,20.4757277902629
256,474.17075299182,17.8956337871757,0.220616283359092,0.0611683501029068,4.76942041220324,0.232964533400953,0,3.04603929608962,4.8491665740012,0.987348274496945,3.00296252326156,28.2915371863889,31.1803005678131,165.125546936315,54.8140886693303,0.192793074928974,1.16936613956335,0.626588181956157,0.0709543946988989,1.53839360802494,1.11672275620381,1.05446358671839,3.17434434039007,23.1156007499914,4.21964754536023,1.83544863044027,7.67278588388551,49.8213443842102,16.1575786735658,2.27367456339894,0.435150401613811,0,0,0.834836498951493,11.2794191648788,0.733778250793558,0.192381393253533,0,0.0611683501029068,0,4.06308877883791,0.0381280726359812,0.245013679445905,3.49032973004638,0,0,2.96262968078249,21.3183290832023
